number,name,abiliy_1,abiliy_2,classification,height,weight,capture_rate,base_egg_steps,exp_growth,exp_growth_type,base_happiness,colour,safari_zone_flee_rate,against_water,against_normal,against_fire,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,egg_group_2,egg_group_1,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,egg_group_3
279,Pelipper,keen eye,,Water Bird Pokémon,1.19,27.99,45,5120,"1,000,000 ",Medium Fast,70,Yellow,0,0.5,1,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,Flying,Water 1,60,50,100,85,70,65,
432,Purugly,thick fat,own tempo,Tiger Cat Pokémon,0.99,43.82,75,5120,"800,000 ",Fast,70,Gray,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,71,82,64,64,59,112,
355,Duskull,levitate,,Requiem Pokémon,0.79,15.01,190,6400,"800,000 ",Fast,35,Black,120,1,0,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,,Indeterminate,20,40,90,30,90,25,
440,Happiny,natural cure,serene grace,Playhouse Pokémon,0.61,24.4,130,10240,"800,000 ",Fast,140,Pink,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Lucky Punch - 5%,100,5,5,15,65,30,
285,Shroomish,effect spore,poison heal,Mushroom Pokémon,0.41,4.49,255,3840,"1,640,000 ",Fluctuating,70,Brown,120,0.5,1,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Plant,Fairy,60,40,60,40,60,35,
236,Tyrogue,guts,steadfast,Scuffle Pokémon,0.71,7.39,75,6400,"1,000,000 ",Medium Fast,70,Purple,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,,,35,35,35,35,35,35,
175,Togepi,hustle,serene grace,Spike Ball Pokémon,0.3,1.5,190,2560,"800,000 ",Fast,70,White,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,,35,20,65,40,65,20,
037,Vulpix,flash fire,,Fox Pokémon,0.61,9.98,190,5120,"1,000,000 ",Medium Fast,70,Brown,0,2,1,0.5,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Ground,38,41,40,50,65,65,
255,Torchic,blaze,,Chick Pokémon,0.41,2.49,45,5120,"1,059,860 ",Medium Slow,70,Red,0,2,1,0.5,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Ground,45,60,40,70,50,45,
200,Misdreavus,levitate,,Screech Pokémon,0.71,1.0,45,6400,"800,000 ",Fast,35,Gray,120,1,0,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,,Indeterminate,60,60,60,85,85,85,
146,Moltres,pressure,,Flame Pokémon,2.01,60.01,3,20480,"1,250,000 ",Slow,35,Yellow,0,2,1,0.5,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,,,90,100,90,125,85,90,
300,Skitty,cute charm,normalize,Kitten Pokémon,0.61,11.02,255,3840,"800,000 ",Fast,70,Pink,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Ground,Fairy,50,45,45,35,35,50,
080,Slowbro,oblivious,own tempo,Hermit Crab Pokémon,1.6,78.47,75,5120,"1,000,000 ",Medium Fast,70,Pink,60,0.5,1,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,Monster,Water 1,95,75,110,100,80,30,
228,Houndour,early bird,flash fire,Dark Pokémon,0.61,10.8,120,5120,"1,250,000 ",Slow,35,Black,120,2,1,0.5,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,,Ground,45,60,30,80,50,65,
217,Ursaring,guts,quick feet,Hibernator Pokémon,1.8,125.78,60,5120,"1,000,000 ",Medium Fast,70,Brown,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,90,130,75,75,75,55,
431,Glameow,limber,own tempo,Catty Pokémon,0.51,3.9,190,5120,"800,000 ",Fast,70,Gray,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,49,55,42,42,37,85,
452,Drapion,battle armor,sniper,Ogre Scorp Pokémon,1.3,61.51,45,5120,"1,250,000 ",Slow,70,Purple,60,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,Bug,Water 3,70,90,110,60,75,95,
129,Magikarp,swift swim,,Fish Pokémon,0.89,9.98,255,1280,"1,250,000 ",Slow,70,Red,90,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Dragon,Water 2,20,10,55,15,20,80,
031,Nidoqueen,poison point,rivalry,Drill Pokémon,1.3,60.01,45,5120,"1,059,860 ",Medium Slow,70,Blue,0,2,1,1,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,,,90,82,87,75,85,76,
199,Slowking,oblivious,own tempo,Royal Pokémon,2.01,79.51,70,5120,"1,000,000 ",Medium Fast,70,Pink,0,0.5,1,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,Monster,Water 1,95,75,80,100,110,30,
141,Kabutops,swift swim,battle armor,Shellfish Pokémon,1.3,40.51,45,7680,"1,000,000 ",Medium Fast,70,Brown,0,1,0.5,0.25,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 3,Water 1,60,115,105,65,70,80,
209,Snubbull,intimidate,run away,Fairy Pokémon,0.61,7.8,190,5120,"800,000 ",Fast,70,Pink,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Ground,Fairy,60,80,50,40,40,30,
321,Wailord,water veil,oblivious,Float Whale Pokémon,14.5,397.98,60,10240,"1,640,000 ",Fluctuating,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Ground,Water 2,170,90,45,90,45,60,
084,Doduo,run away,early bird,Twin Bird Pokémon,1.4,39.01,190,5120,"1,000,000 ",Medium Fast,70,Brown,90,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,35,85,45,35,35,75,
373,Salamence,intimidate,,Dragon Pokémon,1.5,102.6,45,10240,"1,250,000 ",Slow,35,Blue,0,0.5,1,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,,Dragon,95,135,80,110,80,100,
158,Totodile,torrent,,Big Jaw Pokémon,0.61,9.48,45,5120,"1,059,860 ",Medium Slow,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Monster,Water 1,50,65,64,44,48,43,
477,Dusknoir,pressure,,Gripper Pokémon,2.21,106.59,45,6400,"800,000 ",Fast,35,Black,0,1,0,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,,Indeterminate,45,100,135,65,135,45,
481,Mesprit,levitate,,Emotion Pokémon,0.3,0.32,3,20480,"1,250,000 ",Slow,140,Pink,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,,80,105,105,105,105,80,
335,Zangoose,immunity,,Cat Ferret Pokémon,1.3,40.28,90,5120,"600,000 ",Erratic,70,White,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,73,115,60,60,60,90,
211,Qwilfish,poison point,swift swim,Balloon Pokémon,0.51,3.9,45,5120,"1,000,000 ",Medium Fast,70,Gray,0,0.5,1,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,,Water 2,65,95,75,55,55,85,
323,Camerupt,magma armor,solid rock,Eruption Pokémon,1.91,219.99,150,5120,"1,000,000 ",Medium Fast,70,Red,0,4,1,0.5,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,,Ground,70,100,70,105,75,40,
325,Spoink,thick fat,own tempo,Bounce Pokémon,0.71,30.62,255,5120,"800,000 ",Fast,70,Black,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,Ground,60,25,35,70,80,60,
058,Growlithe,intimidate,flash fire,Puppy Pokémon,0.71,19.01,190,5120,"1,250,000 ",Slow,70,Brown,0,2,1,0.5,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Ground,55,70,45,70,50,60,
089,Muk,stench,sticky hold,Sludge Pokémon,1.19,29.94,75,5120,"1,000,000 ",Medium Fast,70,Purple,60,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,,Indeterminate,105,105,75,65,100,50,
486,Regigigas,slow start,,Colossal Pokémon,3.71,419.98,3,30720,"1,250,000 ",Slow,0,White,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,,110,160,110,80,110,100,
341,Corphish,hyper cutter,shell armor,Ruffian Pokémon,0.61,11.52,205,3840,"1,640,000 ",Fluctuating,70,Red,90,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 3,Water 1,43,80,65,50,35,35,
196,Espeon,synchronize,,Sun Pokémon,0.89,26.49,45,8960,"1,000,000 ",Medium Fast,70,Purple,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,Ground,65,65,60,130,95,110,
463,Lickilicky,own tempo,oblivious,Licking Pokémon,1.7,139.98,30,5120,"1,000,000 ",Medium Fast,70,Pink,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Monster,110,85,95,80,95,50,
324,Torkoal,white smoke,,Coal Pokémon,0.51,80.38,90,5120,"1,000,000 ",Medium Fast,70,Brown,60,2,1,0.5,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Ground,70,85,140,85,70,20,
331,Cacnea,sand veil,,Cactus Pokémon,0.41,51.3,190,5120,"1,059,860 ",Medium Slow,35,Green,90,0.5,1,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Plant,HumanShape,50,85,40,85,40,35,
016,Pidgey,keen eye,tangled feet,Tiny Bird Pokémon,0.3,1.81,255,3840,"1,059,860 ",Medium Slow,70,Brown,90,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,40,45,40,35,35,56,
391,Monferno,blaze,,Playful Pokémon,0.89,22.0,45,5120,"1,059,860 ",Medium Slow,70,Brown,0,2,1,0.5,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,Ground,HumanShape,64,78,52,78,52,81,
139,Omastar,swift swim,shell armor,Spiral Pokémon,0.99,35.02,45,7680,"1,000,000 ",Medium Fast,70,Blue,0,1,0.5,0.25,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 3,Water 1,70,60,125,115,70,55,
436,Bronzor,levitate,heatproof,Bronze Pokémon,0.51,60.51,255,5120,"1,000,000 ",Medium Fast,70,Green,90,1,0.5,2,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,,Mineral,57,24,86,24,86,23,
085,Dodrio,run away,early bird,Triple Bird Pokémon,1.8,85.28,45,5120,"1,000,000 ",Medium Fast,70,Brown,60,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,60,110,70,60,60,100,
232,Donphan,sturdy,,Armor Pokémon,1.09,120.2,60,5120,"1,000,000 ",Medium Fast,70,Gray,0,2,1,1,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,,Ground,90,120,120,60,60,50,
215,Sneasel,inner focus,keen eye,Sharp Claw Pokémon,0.89,27.99,60,5120,"1,059,860 ",Medium Slow,35,Black,0,1,1,2,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,Ground,Quick Claw - 5%,55,95,55,35,75,115,
218,Slugma,magma armor,flame body,Lava Pokémon,0.69,34.93,190,5120,"1,000,000 ",Medium Fast,70,Red,0,2,1,0.5,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Indeterminate,40,40,40,70,40,20,
040,Wigglytuff,cute charm,,Balloon Pokémon,0.99,11.79,50,2560,"800,000 ",Fast,70,Pink,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Fairy,140,70,45,75,50,45,
371,Bagon,rock head,,Rock Head Pokémon,0.61,42.09,45,10240,"1,250,000 ",Slow,35,Blue,90,0.5,1,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,,Dragon,45,75,60,40,30,50,
112,Rhydon,lightningrod,rock head,Drill Pokémon,1.91,120.2,60,5120,"1,250,000 ",Slow,70,Gray,60,4,0.5,0.5,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Ground,Monster,105,130,120,45,45,40,
352,Kecleon,color change,,Color Swap Pokémon,0.99,22.0,200,5120,"1,059,860 ",Medium Slow,70,Green,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,60,90,70,60,120,40,
223,Remoraid,hustle,sniper,Jet Pokémon,0.61,12.02,190,5120,"1,000,000 ",Medium Fast,70,Gray,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 2,Water 1,35,65,35,65,35,65,
243,Raikou,pressure,,Thunder Pokémon,1.91,177.99,3,20480,"1,250,000 ",Slow,35,Yellow,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,,90,85,75,115,100,115,
492,Shaymin,natural cure  (land forme),serene grace (sky forme),Gratitude Pokémon,0.2,2.09,45,30720,"1,059,860 ",Medium Slow,100,Green,0,0.5,1,2,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,,,100,100,100,100,100,100,
492.1,Shaymin_sky,natural cure  (land forme),serene grace (sky forme),Gratitude Pokémon,0.2,2.09,45,30720,"1,059,860 ",Medium Slow,100,Green,0,0.5,1,2,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,,,100,103,75,120,75,127,
305,Lairon,sturdy,rock head,Iron Armor Pokémon,0.89,120.02,90,8960,"1,250,000 ",Slow,35,Gray,60,2,0.25,1,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1,,Monster,60,90,140,50,50,40,
471,Glaceon,snow cloak,,Fresh Snow Pokémon,0.79,25.9,45,8960,"1,000,000 ",Medium Fast,35,Blue,0,1,1,2,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,,Ground,65,60,110,130,95,65,
021,Spearow,keen eye,,Tiny Bird Pokémon,0.3,2.0,255,3840,"1,000,000 ",Medium Fast,70,Brown,90,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,40,60,30,31,31,70,
462,Magnezone,magnet pull,sturdy,Magnet Area Pokémon,1.19,179.99,30,5120,"1,000,000 ",Medium Fast,70,Gray,0,1,0.5,2,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,,Mineral,70,70,115,130,90,60,
183,Marill,thick fat,huge power,Aquamouse Pokémon,0.41,8.16,190,2560,"800,000 ",Fast,70,Blue,60,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Fairy,Water 1,70,20,50,20,50,40,
380,Latias,levitate,,Eon Pokémon,1.4,40.01,3,30720,"1,250,000 ",Slow,90,Red,0,0.5,1,0.5,0.5,0.5,2,0.5,1,1,1,0.5,2,1,2,2,2,1,,,80,80,90,110,130,110,
063,Abra,synchronize,inner focus,Psi Pokémon,0.89,19.5,200,5120,"1,059,860 ",Medium Slow,70,Brown,120,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,HumanShape,25,20,15,105,55,90,
180,Flaaffy,static,,Wool Pokémon,0.79,13.29,120,5120,"1,059,860 ",Medium Slow,70,Pink,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Ground,Monster,70,55,55,80,60,45,
208,Steelix,rock head,sturdy,Iron Snake Pokémon,9.19,399.98,25,6400,"1,000,000 ",Medium Fast,70,Gray,0,2,0.5,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,,Mineral,75,85,200,55,65,30,
426,Drifblim,aftermath,unburden,Blimp Pokémon,1.19,15.01,60,7680,"1,640,000 ",Fluctuating,70,Purple,0,1,0,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,,Indeterminate,150,80,44,90,54,80,
155,Cyndaquil,blaze,,Fire Mouse Pokémon,0.51,7.89,45,5120,"1,059,860 ",Medium Slow,70,Yellow,0,2,1,0.5,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Ground,39,52,43,60,50,65,
049,Venomoth,shield dust,tinted lens,Poison Moth Pokémon,1.5,12.52,75,5120,"1,000,000 ",Medium Fast,70,Purple,0,1,1,2,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,,Bug,70,65,60,90,75,90,
266,Silcoon,shed skin,,Cocoon Pokémon,0.61,9.98,120,3840,"1,000,000 ",Medium Fast,70,White,0,1,1,2,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,,Bug,50,35,55,25,25,15,
230,Kingdra,swift swim,sniper,Dragon Pokémon,1.8,152.41,45,5120,"1,000,000 ",Medium Fast,70,Blue,0,0.25,1,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,Dragon,Water 1,75,95,95,95,95,85,
226,Mantine,swift swim,water absorb,Kite Pokémon,2.11,219.99,25,6400,"1,250,000 ",Slow,70,Purple,0,0.5,1,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,,Water 1,65,40,70,80,140,70,
023,Ekans,intimidate,shed skin,Snake Pokémon,2.01,6.89,255,5120,"1,000,000 ",Medium Fast,70,Purple,120,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Ground,Dragon,35,60,44,40,54,55,
445,Garchomp,sand veil,,Mach Pokémon,1.91,94.98,45,10240,"1,250,000 ",Slow,70,Blue,0,1,1,0.5,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,Monster,Dragon,108,130,95,80,85,102,
458,Mantyke,swift swim,water absorb,Kite Pokémon,0.99,66.0,25,6400,"1,250,000 ",Slow,70,Blue,0,0.5,1,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,,,45,20,50,60,120,50,
039,Jigglypuff,cute charm,,Balloon Pokémon,0.51,5.44,170,2560,"800,000 ",Fast,70,Pink,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Fairy,115,45,20,45,25,20,
260,Swampert,torrent,,Mud Fish Pokémon,1.5,81.92,45,5120,"1,059,860 ",Medium Slow,70,Blue,0,1,1,0.5,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,Monster,Water 1,100,110,90,85,90,60,
166,Ledian,swarm,early bird,Five Star Pokémon,1.3,35.61,90,3840,"800,000 ",Fast,70,Red,0,1,1,2,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,55,35,50,55,110,85,
240,Magby,flame body,,Live Coal Pokémon,0.71,21.41,45,6400,"1,000,000 ",Medium Fast,70,Red,0,2,1,0.5,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,No Hold Item,HG/SS,45,75,37,70,55,83,
465,Tangrowth,chlorophyll,leaf guard,Vine Pokémon,2.01,128.59,30,5120,"1,000,000 ",Medium Fast,70,Blue,0,0.5,1,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,,Plant,100,100,125,110,50,50,
113,Chansey,natural cure,serene grace,Egg Pokémon,1.09,34.61,30,10240,"800,000 ",Fast,140,Pink,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Lucky Egg - 5%,Fairy,250,5,5,35,105,50,
033,Nidorino,poison point,rivalry,Poison Pin Pokémon,0.89,19.5,120,5120,"1,059,860 ",Medium Slow,70,Purple,60,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Ground,Monster,61,72,57,55,55,65,
273,Seedot,chlorophyll,early bird,Acorn Pokémon,0.51,3.99,255,3840,"1,059,860 ",Medium Slow,70,Brown,90,0.5,1,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Ground,Plant,40,40,50,30,30,30,
387,Turtwig,overgrow,,Tiny Leaf Pokémon,0.38,10.21,45,5120,"1,059,860 ",Medium Slow,70,Green,0,0.5,1,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Monster,Plant,55,68,64,45,55,31,
327,Spinda,own tempo,tangled feet,Spot Panda Pokémon,1.09,4.99,255,3840,"800,000 ",Fast,70,Brown,60,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Ground,HumanShape,60,60,60,60,60,60,
160,Feraligatr,torrent,,Big Jaw Pokémon,2.31,88.81,45,5120,"1,059,860 ",Medium Slow,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Monster,Water 1,85,105,100,79,83,78,
293,Whismur,soundproof,,Whisper Pokémon,0.61,16.28,190,5120,"1,059,860 ",Medium Slow,70,Pink,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Ground,Monster,64,51,23,51,23,28,
006,Charizard,blaze,,Flame Pokémon,1.7,90.49,45,5120,"1,059,860 ",Medium Slow,70,Red,0,2,1,0.5,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,Monster,Dragon,78,84,78,109,85,100,
093,Haunter,levitate,,Gas Pokémon,1.6,0.09,90,5120,"1,059,860 ",Medium Slow,70,Purple,90,1,0,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,,Indeterminate,45,50,45,115,55,95,
245,Suicune,pressure,,Aurora Pokémon,2.01,187.02,3,20480,"1,250,000 ",Slow,35,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,,100,75,115,90,115,85,
220,Swinub,oblivious,snow cloak,Pig Pokémon,0.41,6.49,225,5120,"1,250,000 ",Slow,70,Brown,0,2,1,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,,Ground,50,50,40,30,30,50,
304,Aron,sturdy,rock head,Iron Armor Pokémon,0.41,60.01,180,8960,"1,250,000 ",Slow,35,Gray,90,2,0.25,1,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1,,Monster,50,70,100,40,40,30,
020,Raticate,run away,guts,Mouse Pokémon,0.71,18.51,127,3840,"1,000,000 ",Medium Fast,70,Brown,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,55,81,60,50,70,97,
381,Latios,levitate,,Eon Pokémon,2.01,60.01,3,30720,"1,250,000 ",Slow,90,Blue,0,0.5,1,0.5,0.5,0.5,2,0.5,1,1,1,0.5,2,1,2,2,2,1,,,80,90,80,130,110,110,
186,Politoed,water absorb,damp,Frog Pokémon,1.09,33.88,45,5120,"1,059,860 ",Medium Slow,70,Green,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,Water 1,90,75,75,90,100,70,
101,Electrode,soundproof,static,Ball Pokémon,1.19,66.68,60,5120,"1,000,000 ",Medium Fast,70,Red,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Mineral,60,50,70,80,80,140,
036,Clefable,cute charm,magic guard,Fairy Pokémon,1.3,40.01,25,2560,"800,000 ",Fast,140,Pink,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Moon Stone - 5%,Fairy,95,70,73,85,90,60,
478,Froslass,snow cloak,,Snow Land Pokémon,1.3,26.58,75,5120,"1,000,000 ",Medium Fast,70,White,0,1,0,2,1,1,0.5,0,0.5,1,1,1,0.5,2,2,1,2,2,Mineral,Fairy,70,80,70,80,70,110,
334,Altaria,natural cure,,Humming Pokémon,1.09,20.59,45,5120,"600,000 ",Erratic,70,Blue,0,0.5,1,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,Flying,Dragon,75,70,90,70,105,80,
229,Houndoom,early bird,flash fire,Dark Pokémon,1.4,35.02,45,5120,"1,250,000 ",Slow,35,Black,90,2,1,0.5,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,,Ground,75,90,50,110,80,95,
311,Plusle,plus,,Cheering Pokémon,0.41,4.22,200,5120,"1,000,000 ",Medium Fast,70,Yellow,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Fairy,60,50,40,85,75,95,
075,Graveler,rock head,sturdy,Rock Pokémon,0.99,105.23,120,3840,"1,059,860 ",Medium Slow,70,Brown,60,4,0.5,0.5,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,,Mineral,55,95,115,45,45,35,
012,Butterfree,compoundeyes,,Butterfly Pokémon,1.09,31.98,45,3840,"1,000,000 ",Medium Fast,70,White,0,1,1,2,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,60,45,50,80,80,70,
056,Mankey,vital spirit,anger point,Pig Monkey Pokémon,0.51,27.99,190,5120,"1,000,000 ",Medium Fast,70,Brown,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,,Ground,40,80,35,35,45,70,
055,Golduck,damp,cloud nine,Duck Pokémon,1.7,76.66,75,5120,"1,000,000 ",Medium Fast,70,Blue,60,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Ground,Water 1,80,82,78,95,80,85,
011,Metapod,shed skin,,Cocoon Pokémon,0.71,9.89,120,3840,"1,000,000 ",Medium Fast,70,Green,0,1,1,2,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,,Bug,50,20,55,25,25,30,
057,Primeape,vital spirit,anger point,Pig Monkey Pokémon,0.99,31.98,75,5120,"1,000,000 ",Medium Fast,70,Brown,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,,Ground,65,105,60,60,70,95,
485,Heatran,flash fire,,Lava Dome Pokémon,1.7,430.01,3,2560,"1,250,000 ",Slow,100,Brown,0,2,0.5,1,1,0.25,0.25,2,0,4,0.5,0.5,0.25,1,0.5,0.5,0.5,0.25,,,91,90,106,130,106,77,
047,Parasect,effect spore,dry skin,Mushroom Pokémon,0.99,29.48,75,5120,"1,000,000 ",Medium Fast,70,Red,90,0.5,1,4,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,Plant,Big Mushroom - 5%,60,95,80,60,80,30,Bug
359,Absol,pressure,super luck,Disaster Pokémon,1.19,46.99,30,6400,"1,059,860 ",Medium Slow,35,White,0,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,,Ground,65,130,60,75,60,75,
048,Venonat,compoundeyes,tinted lens,Insect Pokémon,0.99,29.98,190,5120,"1,000,000 ",Medium Fast,70,Purple,0,1,1,2,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,,Bug,60,55,50,40,55,45,
178,Xatu,synchronize,early bird,Mystic Pokémon,1.5,14.97,75,5120,"1,000,000 ",Medium Fast,70,Green,0,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,,Flying,65,75,70,95,70,95,
118,Goldeen,swift swim,water veil,Goldfish Pokémon,0.61,14.97,225,5120,"1,000,000 ",Medium Fast,70,Red,90,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,Water 2,45,67,60,35,50,63,
