number,name,ability_1,ability_2,male_ratio,female_ratio,classification,height,weight,type_1,type_2,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,base_egg_steps,capture_rate,egg_group_2,egg_group_1,base_hp,base_ attack,base_defense,base_sp_attack,base_sp_defense,base_speed
216,Teddiursa,PickUp,,50,50,Little Bear Pokémon,0.61,8.8,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",120,,Ground,60,80,50,50,50,40
140,Kabuto,Swift Swim,Battle Armor,87.5,12.5,Shellfish Pokémon,0.51,11.52,rock,water,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,"7,680",45,Water 1,Water 3,30,80,90,55,45,55
166,Ledian,Swarm,Early Bird,50,50,Five Star Pokémon,1.3,35.61,bug,flying,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,"3,840",90,,Bug,55,35,50,55,110,85
263,Zigzagoon,PickUp,,50,50,Tinyracoon Pokémon,0.41,17.51,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",255,,Ground,38,30,41,30,41,60
330,Flygon,Levitate,,50,50,Mystic Pokémon,2.01,82.01,ground,dragon,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,"5,120",45,,Bug,80,100,80,80,80,100
199,Slowking,Oblivious,Own Tempo,50,50,Royal Pokémon,2.01,79.51,water,psychic,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,"5,120",70,Monster,Water 1,95,75,80,100,110,30
254,Sceptile,Overgrow,,87.5,12.5,Forest Pokémon,1.7,52.21,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",45,Monster,Dragon,70,85,65,105,85,120
143,Snorlax,Immunity,Thick Fat,87.5,12.5,Sleeping Pokémon,2.11,472.24,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"10,240",25,,Monster,160,110,65,65,110,30
224,Octillery,Suction Cups,,50,50,Jet Pokémon,0.89,28.49,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",75,Water 1,Water 2,75,105,75,105,75,45
119,Seaking,Swift Swim,Water Veil,50,50,Goldfish Pokémon,1.3,39.01,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",60,,Water 2,80,92,65,65,80,68
018,Pidgeot,Keen Eye,,50,50,Bird Pokémon,1.5,39.51,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"3,840",45,,Flying,83,80,75,70,70,91
005,Charmeleon,Blaze,,87.5,12.5,Flame Pokémon,1.09,19.01,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",45,Monster,Dragon,58,64,58,80,65,80
364,Sealeo,Thick Fat,,50,50,Ball Roll Pokémon,1.09,87.59,ice,water,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,"5,120",120,Water 1,Ground,90,60,70,75,70,45
020,Raticate,Run Away,Guts,50,50,Mouse Pokémon,0.71,18.51,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",127,,Ground,55,81,60,50,70,97
126,Magmar,Flame Body,,75,25,Spitfire Pokémon,1.3,44.5,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"6,400",45,,HumanShape,65,95,57,100,85,93
346,Cradily,Suction Cups,,87.5,12.5,Barnacle Pokémon,1.5,60.42,rock,grass,0.5,1,1,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,"7,680",45,,Water 3,86,81,97,81,107,43
192,Sunflora,Chlorophyll,,50,50,Sun Pokémon,0.79,8.48,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",120,,Plant,75,75,55,105,85,30
227,Skarmory,Keen Eye,Sturdy,50,50,Armor Bird Pokémon,1.7,50.8,steel,flying,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,0.5,0.5,0.5,0.5,"6,400",25,,Flying,65,80,140,40,70,70
083,Farfetch'd,Keen Eye,Inner Focus,50,50,Wild Duck Pokémon,0.79,15.01,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"5,120",45,Flying,Ground,52,65,55,58,62,60
213,Shuckle,Sturdy,,50,50,Mold Pokémon,0.61,20.5,bug,rock,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,"5,120",190,,Bug,20,10,230,10,230,5
086,Seel,Thick Fat,,50,50,Sea Lion Pokémon,1.09,89.81,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",190,Water 1,Ground,65,45,55,45,70,45
149,Dragonite,Inner Focus,,50,50,Dragon Pokémon,2.21,210.01,dragon,flying,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,"10,240",45,Water 1,Dragon,91,134,95,100,100,80
341,Corphish,Hyper Cutter,Shell Armor,50,50,Ruffian Pokémon,0.61,11.52,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"3,840",205,Water 1,Water 3,43,80,65,50,35,35
232,Donphan,Sturdy,,50,50,Armor Pokémon,1.09,120.2,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"5,120",60,,Ground,90,120,120,60,60,50
247,Pupitar,Shed Skin,,50,50,Hard Shell Pokémon,1.19,152.0,rock,ground,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,"10,240",45,,Monster,70,84,70,65,70,51
167,Spinarak,Insomnia,Swarm,50,50,String Spit Pokémon,0.51,8.48,bug,poison,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,"3,840",255,,Bug,40,60,40,40,40,30
159,Croconaw,Torrent,,87.5,12.5,Big Jaw Pokémon,1.09,24.99,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",45,Monster,Water 1,65,80,80,59,63,58
047,Parasect,Effect Spore,,50,50,Mushroom Pokémon,0.99,29.48,bug,grass,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,"5,120",75,Bug,Plant,60,95,80,60,80,30
215,Sneasel,Inner Focus,Keen Eye,50,50,Sharp Claw Pokémon,0.89,27.99,dark,ice,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,"5,120",60,,Ground,55,95,55,35,75,115
081,Magnemite,Magnet Pull,Sturdy,0,0,Magnet Pokémon,0.3,5.9,electric,steel,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,"5,120",190,,Mineral,25,35,70,95,55,45
134,Vaporeon,Water Absorb,,87.5,12.5,Bubble Jet Pokémon,0.99,28.98,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"8,960",45,,Ground,130,65,60,110,95,65
045,Vileplume,Chlorophyll,,50,50,Flower Pokémon,1.19,18.6,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",45,,Plant,75,80,85,100,90,50
145,Zapdos,Pressure,,0,0,Electric Pokémon,1.6,52.62,electric,flying,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,"20,480",3,,,90,90,85,125,90,100
046,Paras,Effect Spore,,50,50,Mushroom Pokémon,0.3,5.4,bug,grass,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,"5,120",190,Bug,Plant,35,70,55,45,55,25
212,Scizor,Swarm,,50,50,Pincer Pokémon,1.8,117.98,bug,steel,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,"6,400",25,,Bug,70,130,100,55,80,65
229,Houndoom,Early Bird,Flash Fire,50,50,Dark Pokémon,1.4,35.02,dark,fire,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,"5,120",45,,Ground,75,90,50,110,80,95
178,Xatu,Synchronize,Early Bird,50,50,Mystic Pokémon,1.5,14.97,psychic,flying,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,"5,120",75,,Flying,65,75,70,95,70,95
125,Electabuzz,Static,,75,25,Electric Pokémon,1.09,29.98,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"6,400",45,,HumanShape,65,83,57,95,85,105
127,Pinsir,Hyper Cutter,,50,50,Stagbeetle Pokémon,1.5,54.88,bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,"6,400",45,,Bug,65,125,100,55,70,85
007,Squirtle,Torrent,,87.5,12.5,Tiny Turtle Pokémon,0.51,8.98,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",45,Monster,Water 1,44,48,65,50,64,43
303,Mawile,Hyper Cutter,Intimidate,50,50,Deceiver Pokémon,0.61,11.52,steel,,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"5,120",45,Ground,Fairy,50,85,85,55,55,50
079,Slowpoke,Oblivious,Own Tempo,50,50,Dopey Pokémon,1.19,36.02,water,psychic,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,"5,120",190,Monster,Water 1,90,65,65,40,40,15
093,Haunter,Levitate,,50,50,Gas Pokémon,1.6,0.09,ghost,poison,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,"5,120",90,,Indeterminate,45,50,45,115,55,95
147,Dratini,Shed Skin,,50,50,Dragon Pokémon,1.8,3.31,dragon,,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,"10,240",45,Water 1,Dragon,41,64,45,50,50,50
262,Mightyena,Intimidate,,50,50,Bite Pokémon,0.99,37.01,dark,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,"3,840",127,,Ground,70,90,70,60,60,70
356,Dusclops,Pressure,,50,50,Beckon Pokémon,1.6,30.62,ghost,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,"6,400",90,,Indeterminate,40,70,130,60,130,25
284,Masquerain,Intimidate,,50,50,Eyeball Pokémon,0.79,3.58,bug,flying,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,"3,840",75,Water 1,Bug,70,60,62,80,82,60
370,Luvdisc,Swift Swim,,25,75,Rendezvous Pokémon,0.61,8.71,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",225,,Water 2,43,30,55,40,65,97
283,Surskit,Swift Swim,,50,50,Pond Skater Pokémon,0.51,1.68,bug,water,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,"3,840",200,Water 1,Bug,40,30,32,50,52,65
251,Celebi,Natural Cure,,0,0,Time Travel Pokémon,0.61,4.99,psychic,grass,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,"30,720",45,,,100,100,100,100,100,100
152,Chikorita,Overgrow,,87.5,12.5,Leaf Pokémon,0.89,6.4,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",45,Monster,Plant,45,49,65,49,65,45
011,Metapod,Shed Skin,,50,50,Cocoon Pokémon,0.71,9.89,bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,"3,840",120,,Bug,50,20,55,25,25,30
348,Armaldo,Battle Armor,,87.5,12.5,Plate Pokémon,1.5,68.22,rock,bug,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,"7,680",45,,Water 3,75,125,100,70,80,45
325,Spoink,Thick Fat,Own Tempo,50,50,Bounce Pokémon,0.71,30.62,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",255,,Ground,60,25,35,70,80,60
023,Ekans,Shed Skin,Intimidate,50,50,Snake Pokémon,2.01,6.89,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",255,Ground,Dragon,35,60,44,40,54,55
241,Miltank,Thick Fat,,0,100,Milk Cow Pokémon,1.19,75.48,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",45,,Ground,95,80,105,40,70,100
279,Pelipper,Keen Eye,,50,50,Water Bird Pokémon,1.19,27.99,water,flying,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,"5,120",45,Water 1,Flying,60,50,100,85,70,65
049,Venomoth,Shield Dust,,50,50,Poison Moth Pokémon,1.5,12.52,bug,poison,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,"5,120",75,,Bug,70,65,60,90,75,90
173,Cleffa,Cute Charm,,25,75,Star Shape Pokémon,0.3,2.99,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"2,560",150,,,50,25,28,45,55,15
116,Horsea,Swift Swim,,50,50,Dragon Pokémon,0.41,8.16,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",225,Water 1,Dragon,30,40,70,70,25,60
269,Dustox,Shield Dust,,50,50,Poison Moth Pokémon,1.19,31.62,bug,poison,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,"3,840",45,,Bug,60,50,70,50,90,65
197,Umbreon,Synchronize,,87.5,12.5,Moonlight Pokémon,0.99,26.99,dark,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,"8,960",45,,Ground,95,65,110,60,130,65
154,Meganium,Overgrow,,87.5,12.5,Herb Pokémon,1.8,100.52,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",45,Monster,Plant,80,82,100,83,100,80
350,Milotic,Marvel Scale,,50,50,Tender Pokémon,6.2,161.98,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",60,Water 1,Dragon,95,60,79,100,125,81
314,Illumise,Oblivious,,0,100,Firefly Pokémon,0.61,17.69,bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,"3,840",150,Bug,HumanShape,65,47,55,73,75,85
282,Gardevoir,Synchronize,Trace,50,50,Embrace Pokémon,1.6,48.4,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",45,,Indeterminate,68,65,65,125,115,80
378,Regice,Clear Body,,0,0,Iceberg Pokémon,1.8,175.0,ice,,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,"20,480",3,,,80,50,100,100,200,50
255,Torchic,Blaze,,87.5,12.5,Chick Pokémon,0.41,2.49,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",45,,Ground,45,60,40,70,50,45
193,Yanma,Speed Boost,Compoundeyes,50,50,Clear Wing Pokémon,1.19,38.01,bug,flying,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,"5,120",75,,Bug,65,65,45,75,45,95
299,Nosepass,Sturdy,Magnet Pull,50,50,Compass Pokémon,0.99,96.98,rock,,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,"5,120",255,,Mineral,30,45,135,45,90,30
386,Deoxys,Pressure,,0.0,0.0,DNA Pokémon,1.65,60.78,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"30,720",3,,,50,150,50,150,50,150
386,Deoxys_attack,Pressure,,0.0,0.0,DNA Pokémon,1.65,60.78,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"30,720",3,,,50,180,20,180,20,150
386,Deoxys_defense,Pressure,,0.0,0.0,DNA Pokémon,1.65,60.78,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"30,720",3,,,50,70,160,70,160,90
386,Deoxys_speed,Pressure,,0.0,0.0,DNA Pokémon,1.65,60.78,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"30,720",3,,,50,95,90,95,90,180
153,Bayleef,Overgrow,,87.5,12.5,Leaf Pokémon,1.19,15.79,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",45,Monster,Plant,60,62,80,63,80,60
028,Sandslash,Sand Veil,,50,50,Mouse Pokémon,0.99,29.48,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"5,120",90,,Ground,75,100,110,45,55,65
307,Meditite,Pure Power,,50,50,Meditate Pokémon,0.61,11.2,fighting,psychic,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,"5,120",180,,HumanShape,30,40,55,40,55,60
015,Beedrill,Swarm,,50,50,Poison Bee Pokémon,0.99,29.48,bug,poison,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,"3,840",45,,Bug,65,80,40,45,80,75
157,Typhlosion,Blaze,,87.5,12.5,Volcano Pokémon,1.7,79.51,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",45,,Ground,78,84,78,109,85,100
354,Banette,Insomnia,,50,50,Marionette Pokémon,1.09,12.52,ghost,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,"6,400",45,,Indeterminate,64,115,65,83,63,65
323,Camerupt,Magma Armor,,50,50,Eruption Pokémon,1.91,219.99,fire,ground,1,0.5,4,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,"5,120",150,,Ground,70,100,70,105,75,40
377,Regirock,Clear Body,,0,0,Rock Peak Pokémon,1.7,230.02,rock,,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,"20,480",3,,,80,100,200,50,100,50
115,Kangaskhan,Early Bird,,0,100,Parent Pokémon,2.21,80.01,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",45,,Monster,105,95,80,40,80,90
089,Muk,Stench,Sticky Hold,50,50,Sludge Pokémon,1.19,29.94,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",75,,Indeterminate,105,105,75,65,100,50
298,Azurill,Thick Fat,Guts,75,25,Polka Dot Pokémon,0.2,2.0,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"2,560",150,,,50,20,40,20,40,20
268,Cascoon,Shed Skin,,50,50,Cocoon Pokémon,0.71,11.52,bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,"3,840",120,,Bug,50,35,55,25,25,15
043,Oddish,Chlorophyll,,50,50,Weed Pokémon,0.51,5.44,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",255,,Plant,45,50,55,75,65,30
243,Raikou,Pressure,,0,0,Thunder Pokémon,1.91,177.99,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"20,480",3,,,90,85,75,115,100,115
052,Meowth,PickUp,,50,50,Scratch Cat Pokémon,0.41,4.22,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",255,,Ground,40,45,35,40,40,90
148,Dragonair,Shed Skin,,50,50,Dragon Pokémon,3.99,16.51,dragon,,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,"10,240",45,Water 1,Dragon,61,84,65,70,70,70
058,Growlithe,Intimidate,Flash Fire,75,25,Puppy Pokémon,0.71,19.01,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",190,,Ground,55,70,45,70,50,60
105,Marowak,Rock Head,Lightning Rod,50,50,Bone Keeper Pokémon,0.99,45.0,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"5,120",75,,Monster,60,80,110,50,80,45
233,Porygon2,Trace,,0,0,Virtual Pokémon,0.61,32.48,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",45,,Mineral,85,80,90,105,95,60
003,Venusaur,Overgrow,,87.5,12.5,Seed Pokémon,2.01,100.02,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",45,Monster,Plant,80,82,83,100,100,80
326,Grumpig,Thick Fat,Own Tempo,50,50,Manipulate Pokémon,0.89,71.49,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",60,,Ground,80,45,65,90,110,80
360,Wynaut,Shadow Tag,,50,50,Bright Pokémon,0.61,14.02,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",125,,,95,23,48,23,48,23
226,Mantine,Swift Swim,Water Absorb,50,50,Kite Pokémon,2.11,219.99,water,flying,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,"6,400",25,,Water 1,65,40,70,80,140,70
078,Rapidash,Run Away,Flash Fire,50,50,Fire Horse Pokémon,1.7,94.8,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",60,,Ground,65,100,70,80,80,105
237,Hitmontop,Intimidate,,100,0,Handstand Pokémon,1.4,47.99,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"6,400",45,,HumanShape,50,95,95,35,110,70
123,Scyther,Swarm,,50,50,Mantis Pokémon,1.5,56.02,bug,flying,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,"6,400",45,,Bug,70,110,80,55,80,105
295,Exploud,Soundproof,,50,50,Loud Noise Pokémon,1.5,84.01,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",45,Monster,Ground,104,91,63,91,63,68
077,Ponyta,Run Away,Flash Fire,50,50,Fire Horse Pokémon,0.99,29.98,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",190,,Ground,50,85,55,65,65,90
162,Furret,Run Away,Keen Eye,50,50,Long Body Pokémon,1.8,32.48,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",90,,Ground,85,76,64,45,55,90
051,Dugtrio,Sand Veil,Arena Trap,50,50,Mole Pokémon,0.71,33.29,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"5,120",50,,Ground,35,80,50,50,70,120
218,Slugma,Magma Armor,Flame Body,50,50,Lava Pokémon,0.69,34.93,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",190,,Indeterminate,40,40,40,70,40,20
088,Grimer,Stench,Sticky Hold,50,50,Sludge Pokémon,0.89,29.94,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",190,,Indeterminate,80,80,50,40,50,25
031,Nidoqueen,Poison Point,,0,100,Drill Pokémon,1.3,60.01,poison,ground,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,"5,120",45,,,90,82,87,75,85,76
194,Wooper,Damp,Water Absorb,50,50,Water Fish Pokémon,0.41,8.48,water,ground,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,"5,120",255,Water 1,Ground,55,45,45,25,25,15
008,Wartortle,Torrent,,87.5,12.5,Turtle Pokémon,0.99,22.5,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",45,Monster,Water 1,59,63,80,65,80,58
060,Poliwag,Damp,Water Absorb,50,50,Tadpole Pokémon,0.61,12.38,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",255,,Water 1,40,50,40,40,40,90
203,Girafarig,Inner Focus,Early Bird,50,50,Long Neck Pokémon,1.5,41.28,normal,psychic,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,"5,120",60,,Ground,70,80,65,90,65,85
276,Taillow,Guts,,50,50,TinySwallow Pokémon,0.3,2.31,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"3,840",200,,Flying,40,55,30,30,30,85
286,Breloom,Effect Spore,,50,50,Mushroom Pokémon,1.19,39.19,grass,fighting,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,"3,840",90,Fairy,Plant,60,130,80,60,60,70
338,Solrock,Levitate,,0,0,Meteorite Pokémon,1.19,153.99,rock,psychic,0.5,0.5,2,1,2,1,1,0.5,2,0.5,0.5,2,1,2,1,2,2,"6,400",45,,Mineral,70,95,85,55,65,70
155,Cyndaquil,Blaze,,87.5,12.5,Fire Mouse Pokémon,0.51,7.89,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",45,,Ground,39,52,43,60,50,65
172,Pichu,Static,,50,50,Tiny Mouse Pokémon,0.3,1.81,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"2,560",190,,,20,40,15,35,35,60
230,Kingdra,Swift Swim,,50,50,Dragon Pokémon,1.8,152.41,water,dragon,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,"5,120",45,Water 1,Dragon,75,95,95,95,95,85
238,Smoochum,Oblivious,,0,100,Kiss Pokémon,0.41,5.99,ice,psychic,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,"6,400",45,,,45,30,15,85,65,65
095,Onix,Rock Head,Sturdy,50,50,Rock Snake Pokémon,8.79,210.01,rock,ground,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,"6,400",45,,Mineral,35,45,160,30,45,70
337,Lunatone,Levitate,,0,0,Meteorite Pokémon,0.99,168.01,rock,psychic,0.5,0.5,2,1,2,1,1,0.5,2,0.5,0.5,2,1,2,1,2,2,"6,400",45,,Mineral,70,55,65,95,85,70
057,Primeape,Vital Spirit,,50,50,Pig Monkey Pokémon,0.99,31.98,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"5,120",75,,Ground,65,105,60,60,70,95
080,Slowbro,Oblivious,Own Tempo,50,50,Hermit Crab Pokémon,1.6,78.47,water,psychic,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,"5,120",75,Monster,Water 1,95,75,110,100,80,30
180,Flaaffy,Static,,50,50,Wool Pokémon,0.79,13.29,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"5,120",120,Monster,Ground,70,55,55,80,60,45
305,Lairon,Rock Head,Sturdy,50,50,Iron Armor Pokémon,0.89,120.02,steel,rock,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1,"8,960",90,,Monster,60,90,140,50,50,40
