number,name,male_ratio,female_ratio,classification,height,weight,capture_rate,base_egg_steps,type_1,type_2,exp_growth,exp_growth_type,base_happiness,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,egg_group,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed
195,Quagsire,50.0,50.0,Water Fish Pokémon,1.4,75,90,5120,water,ground,1000000,Medium Fast,70,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,Field,95,85,85,65,65,35
240,Magby,75.0,25.0,Live Coal Pokémon,0.7,21.4,45,6400,fire,,1000000,Medium Fast,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Magby cannot breed,45,75,37,70,55,83
111,Rhyhorn,50.0,50.0,Spikes Pokémon,1,115,120,5120,ground,rock,1250000,Slow,70,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Field,80,85,95,30,30,25
181,Ampharos,50.0,50.0,Light Pokémon,1.4,61.5,45,5120,electric,,1059860,Medium Slow,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Field,90,75,75,115,90,55
085,Dodrio,50.0,50.0,Triple Bird Pokémon,1.8,85.2,45,5120,normal,flying,1000000,Medium Fast,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,60,110,70,60,60,100
242,Blissey,0.0,100.0,Happiness Pokémon,1.5,46.8,30,10240,normal,,800000,Fast,140,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Fairy,255,10,10,75,135,55
230,Kingdra,50.0,50.0,Dragon Pokémon,1.8,152,45,5120,water,dragon,1000000,Medium Fast,70,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,Dragon,75,95,95,95,95,85
043,Oddish,50.0,50.0,Weed Pokémon,0.5,5.4,255,5120,grass,poison,1059860,Medium Slow,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,45,50,55,75,65,30
153,Bayleef,87.5,12.5,Leaf Pokémon,1.2,15.8,45,5120,grass,,1059860,Medium Slow,70,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,60,62,80,63,80,60
020,Raticate,50.0,50.0,Mouse Pokémon,0.7,18.5,127,3840,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,55,81,60,50,70,97
022,Fearow,50.0,50.0,Beak Pokémon,1.2,38,90,3840,normal,flying,1000000,Medium Fast,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,65,90,65,61,61,100
076,Golem,50.0,50.0,Megaton Pokémon,1.4,300,45,3840,rock,ground,1059860,Medium Slow,70,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Mineral,80,110,130,55,65,45
232,Donphan,50.0,50.0,Armor Pokémon,1.1,120,60,5120,ground,,1000000,Medium Fast,70,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,Field,90,120,120,60,60,50
079,Slowpoke,50.0,50.0,Dopey Pokémon,1.2,36,190,5120,water,psychic,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,Water 1,90,65,65,40,40,15
118,Goldeen,50.0,50.0,Goldfish Pokémon,0.6,15,225,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 2,45,67,60,35,50,63
074,Geodude,50.0,50.0,Rock Pokémon,0.4,20,255,3840,rock,ground,1059860,Medium Slow,70,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Mineral,40,80,100,30,30,20
108,Lickitung,50.0,50.0,Licking Pokémon,1.2,65.5,45,5120,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Monster,90,55,75,60,75,30
012,Butterfree,50.0,50.0,Butterfly Pokémon,1.1,32,45,3840,bug,flying,1000000,Medium Fast,70,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,Bug,60,45,50,80,80,70
011,Metapod,50.0,50.0,Cocoon Pokémon,0.7,9.9,120,3840,bug,,1000000,Medium Fast,70,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,Bug,50,20,55,25,25,30
054,Psyduck,50.0,50.0,Duck Pokémon,0.8,19.6,190,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Field,50,52,48,65,50,55
176,Togetic,87.5,12.5,Happiness Pokémon,0.6,3.2,75,2560,normal,flying,800000,Fast,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Fairy,55,40,85,80,105,40
205,Forretress,50.0,50.0,Bagworm Pokémon,1.2,125.8,75,5120,bug,steel,1000000,Medium Fast,70,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,Bug,75,90,140,60,60,40
177,Natu,50.0,50.0,Little Bird Pokémon,0.2,2,190,5120,psychic,flying,1000000,Medium Fast,70,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,Flying,40,50,45,70,45,70
191,Sunkern,50.0,50.0,Seed Pokémon,0.3,1.8,235,5120,grass,,1059860,Medium Slow,70,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,30,30,30,30,30,30
144,Articuno,#235,"['Articuno', '#144', 0.0, 0.0]",Freeze Pokémon,1.7,55.4,3,20480,ice,flying,1250000,Slow,35,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,Articuno cannot breed,90,85,100,95,125,85
138,Omanyte,87.5,12.5,Spiral Pokémon,0.4,7.5,45,7680,rock,water,1000000,Medium Fast,70,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 3,35,40,100,90,55,35
251,Celebi,#251,"['Celebi', '#251', 0.0, 0.0]",Time Travel Pokémon,0.6,5,45,30720,psychic,grass,1059860,Medium Slow,100,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,Celebi cannot breed,100,100,100,100,100,100
139,Omastar,87.5,12.5,Spiral Pokémon,1,35,45,7680,rock,water,1000000,Medium Fast,70,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 3,70,60,125,115,70,55
049,Venomoth,50.0,50.0,Poison Moth Pokémon,1.5,12.5,75,5120,bug,poison,1000000,Medium Fast,70,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,Bug,70,65,60,90,75,90
032,Nidoran♂,100.0,0.0,Poison Pin Pokémon,0.5,9,235,5120,poison,,1059860,Medium Slow,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Field,46,57,40,40,40,50
136,Flareon,87.5,12.5,Flame Pokémon,0.9,25,45,8960,fire,,1000000,Medium Fast,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,65,130,60,95,110,65
071,Victreebel,50.0,50.0,Flycatcher Pokémon,1.7,15.5,45,5120,grass,poison,1059860,Medium Slow,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,80,105,65,100,60,70
203,Girafarig,50.0,50.0,Long Neck Pokémon,1.5,41.5,60,5120,normal,psychic,1000000,Medium Fast,70,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,Field,70,80,65,90,65,85
026,Raichu,50.0,50.0,Mouse Pokémon,0.8,30,75,2560,electric,,1000000,Medium Fast,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Fairy,60,90,55,90,80,100
046,Paras,50.0,50.0,Mushroom Pokémon,0.3,5.4,190,5120,bug,grass,1000000,Medium Fast,70,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,Grass,35,70,55,45,55,25
018,Pidgeot,50.0,50.0,Bird Pokémon,1.5,39.5,45,3840,normal,flying,1059860,Medium Slow,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,83,80,75,70,70,91
047,Parasect,50.0,50.0,Mushroom Pokémon,1,29.5,75,5120,bug,grass,1000000,Medium Fast,70,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,Grass,60,95,80,60,80,30
244,Entei,#239,"['Entei', '#244', 0.0, 0.0]",Volcano Pokémon,2.1,198,3,20480,fire,,1250000,Slow,35,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Entei cannot breed,115,115,85,90,75,100
081,Magnemite,#118,"['Magnemite', '#081', 0.0, 0.0]",Magnet Pokémon,0.3,6,190,5120,electric,steel,1000000,Medium Fast,70,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,Mineral,25,35,70,95,55,45
142,Aerodactyl,87.5,12.5,Fossil Pokémon,1.8,59,45,8960,rock,flying,1250000,Slow,70,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,Flying,80,105,65,60,75,130
005,Charmeleon,87.5,12.5,Flame Pokémon,1.1,19,45,5120,fire,,1059860,Medium Slow,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Dragon,58,64,58,80,65,80
115,Kangaskhan,0.0,100.0,Parent Pokémon,2.2,80,45,5120,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Monster,105,95,80,40,80,90
170,Chinchou,50.0,50.0,Angler Pokémon,0.5,12,190,5120,water,electric,1250000,Slow,70,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,Water 2,75,38,38,56,56,67
151,Mew,#250,"['Mew', '#151', 0.0, 0.0]",New Species Pokémon,0.4,4,45,30720,psychic,,1059860,Medium Slow,100,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Mew cannot breed,100,100,100,100,100,100
165,Ledyba,50.0,50.0,Five Star Pokémon,1,10.8,255,3840,bug,flying,800000,Fast,70,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,Bug,40,20,30,40,80,55
166,Ledian,50.0,50.0,Five Star Pokémon,1.4,35.6,90,3840,bug,flying,800000,Fast,70,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,Bug,55,35,50,55,110,85
062,Poliwrath,50.0,50.0,Tadpole Pokémon,1.3,54,45,5120,water,fighting,1059860,Medium Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,Water 1,90,85,95,70,90,70
037,Vulpix,25.0,75.0,Fox Pokémon,0.6,9.9,190,5120,fire,,1000000,Medium Fast,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,38,41,40,50,65,65
038,Ninetales,25.0,75.0,Fox Pokémon,1.1,19.9,75,5120,fire,,1000000,Medium Fast,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,73,76,75,81,100,100
077,Ponyta,50.0,50.0,Fire Horse Pokémon,1,30,190,5120,fire,,1000000,Medium Fast,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,50,85,55,65,65,90
053,Persian,50.0,50.0,Classy Cat Pokémon,1,32,90,5120,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,65,70,60,65,65,115
150,Mewtwo,#249,"['Mewtwo', '#150', 0.0, 0.0]",Genetic Pokémon,2,122,3,30720,psychic,,1250000,Slow,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Mewtwo cannot breed,106,110,90,154,90,130
063,Abra,75.0,25.0,Psi Pokémon,0.9,19.5,200,5120,psychic,,1059860,Medium Slow,70,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Human-like,25,20,15,105,55,90
131,Lapras,50.0,50.0,Transport Pokémon,2.5,220,45,10240,water,ice,1250000,Slow,70,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,Water 1,130,85,80,85,95,60
014,Kakuna,50.0,50.0,Cocoon Pokémon,0.6,10,120,3840,bug,poison,1000000,Medium Fast,70,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,Bug,45,25,50,25,25,35
145,Zapdos,#236,"['Zapdos', '#145', 0.0, 0.0]",Electric Pokémon,1.6,52.6,3,20480,electric,flying,1250000,Slow,35,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,Zapdos cannot breed,90,90,85,125,90,100
122,Mr. Mime,50.0,50.0,Barrier Pokémon,1.3,54.5,45,6400,psychic,,1000000,Medium Fast,70,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Human-like,40,45,65,100,120,90
059,Arcanine,75.0,25.0,Legendary Pokémon,1.9,155,75,5120,fire,,1250000,Slow,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,90,110,80,100,80,95
157,Typhlosion,87.5,12.5,Volcano Pokémon,1.7,79.5,45,5120,fire,,1059860,Medium Slow,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,78,84,78,109,85,100
209,Snubbull,25.0,75.0,Fairy Pokémon,0.6,7.8,190,5120,normal,,800000,Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Fairy,60,80,50,40,40,30
065,Alakazam,75.0,25.0,Psi Pokémon,1.5,48,50,5120,psychic,,1059860,Medium Slow,70,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Human-like,55,50,45,135,85,120
161,Sentret,50.0,50.0,Scout Pokémon,0.8,6,255,3840,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,35,46,34,35,45,20
104,Cubone,50.0,50.0,Lonely Pokémon,0.4,6.5,190,5120,ground,,1000000,Medium Fast,70,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,Monster,50,50,95,40,50,35
127,Pinsir,50.0,50.0,Stagbeetle Pokémon,1.5,55,45,6400,bug,,1250000,Slow,70,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,Bug,65,125,100,55,70,85
173,Cleffa,25.0,75.0,Star Shape Pokémon,0.3,3,150,2560,normal,,800000,Fast,140,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Cleffa cannot breed,50,25,28,45,55,15
003,Venusaur,87.5,12.5,Seed Pokémon,2,100,45,5120,grass,poison,1059860,Medium Slow,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,80,82,83,100,100,80
044,Gloom,50.0,50.0,Weed Pokémon,0.8,8.6,120,5120,grass,poison,1059860,Medium Slow,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,60,65,70,85,75,40
094,Gengar,50.0,50.0,Shadow Pokémon,1.5,40.5,45,5120,ghost,poison,1059860,Medium Slow,70,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,Amorphous,60,65,60,130,75,110
188,Skiploom,50.0,50.0,Cottonweed Pokémon,0.6,1,120,5120,grass,flying,1059860,Medium Slow,70,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,Grass,55,45,50,45,65,80
146,Moltres,#237,"['Moltres', '#146', 0.0, 0.0]",Flame Pokémon,2,60,3,20480,fire,flying,1250000,Slow,35,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,Moltres cannot breed,90,100,90,125,85,90
117,Seadra,50.0,50.0,Dragon Pokémon,1.2,25,75,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Dragon,55,65,95,95,45,85
141,Kabutops,87.5,12.5,Shellfish Pokémon,1.3,40.5,45,7680,rock,water,1000000,Medium Fast,70,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 3,60,115,105,65,70,80
164,Noctowl,50.0,50.0,Owl Pokémon,1.6,40.8,90,3840,normal,flying,1000000,Medium Fast,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,100,50,50,76,96,70
236,Tyrogue,100.0,0.0,Scuffle Pokémon,0.7,21,75,6400,fighting,,1000000,Medium Fast,70,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,Tyrogue cannot breed,35,35,35,35,35,35
167,Spinarak,50.0,50.0,String Spit Pokémon,0.5,8.5,255,3840,bug,poison,800000,Fast,70,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,Bug,40,60,40,40,40,30
134,Vaporeon,87.5,12.5,Bubble Jet Pokémon,1,29,45,8960,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Field,130,65,60,110,95,65
241,Miltank,0.0,100.0,Milk Cow Pokémon,1.2,75.5,45,5120,normal,,1250000,Slow,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,95,80,105,40,70,100
025,Pikachu,50.0,50.0,Mouse Pokémon,0.4,6,190,2560,electric,,1000000,Medium Fast,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Fairy,35,55,30,50,40,90
114,Tangela,50.0,50.0,Vine Pokémon,1,35,45,5120,grass,,1000000,Medium Fast,70,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,65,55,115,100,40,60
101,Electrode,#121,"['Electrode', '#101', 0.0, 0.0]",Ball Pokémon,1.2,66.6,60,5120,electric,,1000000,Medium Fast,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Mineral,60,50,70,80,80,140
239,Elekid,75.0,25.0,Electric Pokémon,0.6,23.5,45,6400,electric,,1000000,Medium Fast,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Elekid cannot breed,45,63,37,65,55,95
169,Crobat,50.0,50.0,Bat Pokémon,1.8,75,90,3840,poison,flying,1000000,Medium Fast,70,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,Flying,85,90,80,70,80,130
147,Dratini,50.0,50.0,Dragon Pokémon,1.8,3.3,45,10240,dragon,,1250000,Slow,35,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,Dragon,41,64,45,50,50,50
036,Clefable,25.0,75.0,Fairy Pokémon,1.3,40,25,2560,normal,,800000,Fast,140,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Fairy,95,70,73,85,90,60
182,Bellossom,50.0,50.0,Flower Pokémon,0.4,5.8,45,5120,grass,,1059860,Medium Slow,70,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,75,80,85,90,100,50
040,Wigglytuff,25.0,75.0,Balloon Pokémon,1,12,50,2560,normal,,800000,Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Fairy,140,70,45,75,50,45
082,Magneton,#119,"['Magneton', '#082', 0.0, 0.0]",Magnet Pokémon,1,60,60,5120,electric,steel,1000000,Medium Fast,70,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,Mineral,50,60,95,120,70,70
045,Vileplume,50.0,50.0,Flower Pokémon,1.2,18.6,45,5120,grass,poison,1059860,Medium Slow,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,75,80,85,100,90,50
219,Magcargo,50.0,50.0,Lava Pokémon,0.8,55,75,5120,fire,rock,1000000,Medium Fast,70,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,Amorphous,50,50,120,80,80,30
237,Hitmontop,100.0,0.0,Handstand Pokémon,1.4,48,45,6400,fighting,,1000000,Medium Fast,70,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,Human-like,50,95,95,35,110,70
154,Meganium,87.5,12.5,Herb Pokémon,1.8,100.5,45,5120,grass,,1059860,Medium Slow,70,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,80,82,100,83,100,80
121,Starmie,#168,"['Starmie', '#121', 0.0, 0.0]",Mysterious Pokémon,1.1,80,60,5120,water,psychic,1250000,Slow,70,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,Water 3,60,75,85,100,85,115
158,Totodile,87.5,12.5,Big Jaw Pokémon,0.6,9.5,45,5120,water,,1059860,Medium Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,50,65,64,44,48,43
021,Spearow,50.0,50.0,Tiny Bird Pokémon,0.3,2,255,3840,normal,flying,1000000,Medium Fast,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,40,60,30,31,31,70
064,Kadabra,75.0,25.0,Psi Pokémon,1.3,56.5,100,5120,psychic,,1059860,Medium Slow,70,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Human-like,40,35,30,120,70,105
066,Machop,75.0,25.0,Superpower Pokémon,0.8,19.5,180,5120,fighting,,1059860,Medium Slow,70,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,Human-like,70,80,50,35,35,35
168,Ariados,50.0,50.0,Long Leg Pokémon,1.1,33.5,90,3840,bug,poison,800000,Fast,70,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,Bug,70,90,70,60,60,40
128,Tauros,100.0,0.0,Wild Bull Pokémon,1.4,88.4,45,5120,normal,,1250000,Slow,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,75,100,95,40,70,110
246,Larvitar,50.0,50.0,Rock Skin Pokémon,0.6,72,45,10240,rock,ground,1250000,Slow,35,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Monster,50,64,50,45,50,41
248,Tyranitar,50.0,50.0,Armor Pokémon,2,202,45,10240,rock,dark,1250000,Slow,35,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,Monster,100,134,110,95,100,61
069,Bellsprout,50.0,50.0,Flower Pokémon,0.7,4,255,5120,grass,poison,1059860,Medium Slow,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,50,75,35,70,30,40
225,Delibird,50.0,50.0,Delivery Pokémon,0.9,16,45,5120,ice,flying,800000,Fast,70,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,Field,45,55,45,65,45,75
070,Weepinbell,50.0,50.0,Flycatcher Pokémon,1,6.4,120,5120,grass,poison,1059860,Medium Slow,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,65,90,50,85,45,55
119,Seaking,50.0,50.0,Goldfish Pokémon,1.3,39,60,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 2,80,92,65,65,80,68
105,Marowak,50.0,50.0,Bone Keeper Pokémon,1,45,75,5120,ground,,1000000,Medium Fast,70,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,Monster,60,80,110,50,80,45
113,Chansey,0.0,100.0,Egg Pokémon,1.1,34.6,30,10240,normal,,800000,Fast,140,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Fairy,250,5,5,35,105,50
103,Exeggutor,50.0,50.0,Coconut Pokémon,2,120,45,5120,grass,psychic,1250000,Slow,70,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,Grass,95,95,85,125,65,55
175,Togepi,87.5,12.5,Spike Ball Pokémon,0.3,1.5,190,2560,normal,,800000,Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Togepi cannot breed,35,20,65,40,65,20
008,Wartortle,87.5,12.5,Turtle Pokémon,1,22.5,45,5120,water,,1059860,Medium Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,59,63,80,65,80,58
174,Igglybuff,25.0,75.0,Balloon Pokémon,0.3,1,170,2560,normal,,800000,Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Igglybuff cannot breed,90,30,15,40,20,15
058,Growlithe,75.0,25.0,Puppy Pokémon,0.7,19,190,5120,fire,,1250000,Slow,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,55,70,45,70,50,60
198,Murkrow,50.0,50.0,Darkness Pokémon,0.5,2.1,30,5120,dark,flying,1059860,Medium Slow,35,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,Flying,60,85,42,85,42,91
215,Sneasel,50.0,50.0,Sharp Claw Pokémon,0.9,28,60,5120,dark,ice,1059860,Medium Slow,35,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,Field,55,95,55,35,75,115
002,Ivysaur,87.5,12.5,Seed Pokémon,1,13,45,5120,grass,poison,1059860,Medium Slow,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,60,62,63,80,80,60
098,Krabby,50.0,50.0,River Crab Pokémon,0.4,6.5,225,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 3,30,105,90,25,25,50
171,Lanturn,50.0,50.0,Light Pokémon,1.2,22.5,75,5120,water,electric,1250000,Slow,70,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,Water 2,125,58,58,76,76,67
133,Eevee,87.5,12.5,Evolution Pokémon,0.3,6.5,45,8960,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,55,55,50,45,65,55
048,Venonat,50.0,50.0,Insect Pokémon,1,30,190,5120,bug,poison,1000000,Medium Fast,70,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,Bug,60,55,50,40,55,45
001,Bulbasaur,87.5,12.5,Seed Pokémon,0.7,6.9,45,5120,grass,poison,1059860,Medium Slow,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,45,49,49,65,65,45
201,Unown,#061,"['Unown', '#201', 0.0, 0.0]",Symbol Pokémon,0.5,5,225,10240,psychic,,1000000,Medium Fast,70,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Unown cannot breed,48,72,48,72,48,48
204,Pineco,50.0,50.0,Bagworm Pokémon,0.6,7.2,190,5120,bug,,1000000,Medium Fast,70,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,Bug,50,65,90,35,35,15
