number,name,abiliy_1,abiliy_2,hidden_ability,classification,height,weight,capture_rate,base_egg_steps,exp_growth,exp_growth_type,base_happiness,flee_flag,entree_forest_level,type_1,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,egg_group_2,egg_group_1,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,type_2,egg_group_3,abiliy_3,egg_group_4,abiliy_4,abiliy_5,abiliy_6,abiliy_7,abiliy_8
245,Suicune,pressure,,water absorb,Aurora Pokémon,2.0,187.0,3,20480,"1,250,000 ",Slow,35,11,40,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,,100,75,115,90,115,85,,,,,,,,,
353,Shuppet,insomnia,frisk,cursed body,Puppet Pokémon,0.6,2.3,225,6400,"800,000 ",Fast,35,130,10,ghost,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,,Amorphous,44,75,35,63,33,45,,,,,,,,,
162,Furret,run away,keen eye,frisk,Long Body Pokémon,1.8,32.5,90,3840,"1,000,000 ",Medium Fast,70,119,15,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Sitrus Berry - 5%,Field,85,76,64,45,55,90,,,,,,,,,
428,Lopunny,cute charm,klutz,limber,Rabbit Pokémon,1.2,33.3,60,5120,"1,000,000 ",Medium Fast,140,7,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Human-like,Chople Berry - 5%,65,76,84,54,96,105,,Pecha Berry - 50%,,Field,,,,,
345,Lileep,suction cups,,storm drain,Sea Lily Pokémon,1.0,23.8,45,7680,"600,000 ",Erratic,70,114,10,rock,0.5,1,1,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,,Water 3,66,41,77,61,87,23,grass,,,,,,,,
270,Lotad,swift swim,rain dish,own tempo,Water Weed Pokémon,0.5,2.6,255,3840,"1,059,860 ",Medium Slow,70,20,10,water,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,Water 1,Grass,40,30,30,40,50,30,grass,,,,,,,,
412,Burmy,shed skin,,overcoat,Bagworm Pokémon,0.2,3.4,120,3840,"1,000,000 ",Medium Fast,70,142,10,bug,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,,Bug,40,29,45,29,45,36,,,,,,,,,
285,Shroomish,effect spore,poison heal,quick feet,Mushroom Pokémon,0.4,4.5,255,3840,"1,640,000 ",Fluctuating,70,95,10,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,Fairy,60,40,60,40,60,35,,,,,,,,,
639,Terrakion,justified,,,Cavern Pokémon,1.9,260.0,3,20480,"1,250,000 ",Slow,35,3 Attack Point(s),0,rock,0.5,0.5,2,1,2,1,2,0.5,2,1,2,0.5,0.5,1,1,0.5,2,,,91,129,90,72,90,108,fighting,,,,,,,,
220,Swinub,oblivious,snow cloak,thick fat,Pig Pokémon,0.4,6.5,225,5120,"1,250,000 ",Slow,70,47,10,ice,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,,Field,50,50,40,30,30,50,ground,,,,,,,,
138,Omanyte,swift swim,shell armor,weak armor,Spiral Pokémon,0.4,7.5,45,7680,"1,000,000 ",Medium Fast,70,133,10,rock,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 1,Water 3,35,40,100,90,55,35,water,,,,,,,,
453,Croagunk,anticipation,dry skin,poison touch,Toxic Mouth Pokémon,0.7,23.0,140,2560,"1,000,000 ",Medium Fast,100,143,10,poison,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,,Human-like,48,61,40,61,40,50,fighting,,,,,,,,
178,Xatu,synchronize,early bird,magic bounce,Mystic Pokémon,1.5,15.0,75,5120,"1,000,000 ",Medium Fast,70,156,25,psychic,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,,Flying,65,75,70,95,70,95,flying,,,,,,,,
034,Nidoking,poison point,rivalry,sheer force,Drill Pokémon,1.4,62.0,45,5120,"1,059,860 ",Medium Slow,70,125,16,poison,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,Monster,Field,81,92,77,85,75,85,ground,,,,,,,,
260,Swampert,torrent,,damp,Mud Fish Pokémon,1.5,81.9,45,5120,"1,059,860 ",Medium Slow,70,6,36,water,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,Water 1,Monster,100,110,90,85,90,60,ground,,,,,,,,
624,Pawniard,defiant,inner focus,pressure,Sharp Blade Pokémon,0.5,10.2,120,5120,"1,000,000 ",Medium Fast,35,1 Attack Point(s),46,dark,0.5,2,1,1,0.5,0.5,4,0,2,0.5,0,1,0.5,0.25,0.5,0.25,0.5,,Human-like,45,85,70,40,40,60,steel,,,,,,,,
546,Cottonee,prankster,infiltrator,chlorophyll,Cotton Puff Pokémon,0.3,0.6,190,5120,"1,000,000 ",Medium Fast,70,1 Speed Point(s),34,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,Fairy,40,27,60,37,50,66,,,,,,,,,
142,Aerodactyl,rock head,pressure,unnerve,Fossil Pokémon,1.8,59.0,45,8960,"1,250,000 ",Slow,70,127,10,rock,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,,Flying,80,105,65,60,75,130,flying,,,,,,,,
166,Ledian,swarm,early bird,iron fist,Five Star Pokémon,1.4,35.6,90,3840,"800,000 ",Fast,70,89,18,bug,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,55,35,50,55,110,85,flying,,,,,,,,
437,Bronzong,levitate,heatproof,heavy metal,Bronze Bell Pokémon,1.3,187.0,90,5120,"1,000,000 ",Medium Fast,70,134,33,steel,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,,Mineral,67,89,116,79,116,33,psychic,,,,,,,,
113,Chansey,natural cure,serene grace,healer,Egg Pokémon,1.1,34.6,30,10240,"800,000 ",Fast,140,131,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Lucky Egg - 5%,Fairy,250,5,5,35,105,50,,,,,,,,,
075,Graveler,rock head,sturdy,sand veil,Rock Pokémon,1.0,105.0,120,3840,"1,059,860 ",Medium Slow,70,8,25,rock,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,,Mineral,55,95,115,45,45,35,ground,,,,,,,,
141,Kabutops,swift swim,battle armor,weak armor,Shellfish Pokémon,1.3,40.5,45,7680,"1,000,000 ",Medium Fast,70,133,40,rock,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 1,Water 3,60,115,105,65,70,80,water,,,,,,,,
506,Lillipup,vital spirit,pickup,run away,Puppy Pokémon,0.4,4.1,255,3840,"1,059,860 ",Medium Slow,70,1 Attack Point(s),50,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,45,60,45,25,45,55,,,,,,,,,
025,Pikachu,static,,lightningrod,Mouse Pokémon,0.4,6.0,190,2560,"1,000,000 ",Medium Fast,70,31,10,electric,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Fairy,Light Ball - 1%(Dark Grass),35,55,30,50,40,90,,Light Ball - 5%,,Field,,,,,
489,Phione,hydration,,,Sea Drifter Pokémon,0.4,3.1,30,10240,"1,250,000 ",Slow,70,0,10,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,Fairy,80,80,80,80,80,80,,,,,,,,,
170,Chinchou,volt absorb,illuminate,water absorb,Angler Pokémon,0.5,12.0,190,5120,"1,250,000 ",Slow,70,11,10,water,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,,Water 2,75,38,38,56,56,67,electric,,,,,,,,
089,Muk,stench,sticky hold,poison touch,Sludge Pokémon,1.2,30.0,75,5120,"1,000,000 ",Medium Fast,70,143,38,poison,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Nugget - 5%,Amorphous,105,105,75,65,100,50,,Toxic Orb - 1%(Dark Grass),,,,,,,
328,Trapinch,hyper cutter,arena trap,sheer force,Ant Pit Pokémon,0.7,15.0,255,5120,"1,059,860 ",Medium Slow,70,125,10,ground,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,,Bug,45,100,45,45,45,10,,,,,,,,,
359,Absol,pressure,super luck,justified,Disaster Pokémon,1.2,47.0,30,6400,"1,059,860 ",Medium Slow,35,154,10,dark,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,,Field,65,130,60,75,60,75,,,,,,,,,
297,Hariyama,thick fat,guts,sheer force,Arm Thrust Pokémon,2.3,253.8,200,5120,"1,640,000 ",Fluctuating,70,125,24,fighting,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,,Human-like,144,120,60,40,60,50,,,,,,,,,
077,Ponyta,run away,flash fire,flame body,Fire Horse Pokémon,1.0,30.0,190,5120,"1,000,000 ",Medium Fast,70,49,10,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Field,50,85,55,65,65,90,,,,,,,,,
586,Sawsbuck,chlorophyll,sap sipper,serene grace,Season Pokémon,1.9,92.5,75,5120,"1,000,000 ",Medium Fast,70,2 Attack Point(s),32,normal,1,2,0.5,0.5,0.5,2,2,2,0.5,2,1,2,1,0,1,1,1,,Field,80,100,70,60,70,95,grass,,,,,,,,
078,Rapidash,run away,flash fire,flame body,Fire Horse Pokémon,1.7,95.0,60,5120,"1,000,000 ",Medium Fast,70,49,40,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Field,65,100,70,80,80,105,,,,,,,,,
197,Umbreon,synchronize,,inner focus,Moonlight Pokémon,1.0,27.0,45,8960,"1,000,000 ",Medium Fast,35,39,10,dark,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,,Field,95,65,110,60,130,65,,,,,,,,,
128,Tauros,intimidate,anger point,sheer force,Wild Bull Pokémon,1.4,88.4,45,5120,"1,250,000 ",Slow,70,125,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,75,100,95,40,70,110,,,,,,,,,
125,Electabuzz,static,,vital spirit,Electric Pokémon,1.1,30.0,45,6400,"1,000,000 ",Medium Fast,70,72,30,electric,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Human-like,65,83,57,95,85,105,,,,,,,,,
090,Shellder,shell armor,skill link,overcoat,Bivalve Pokémon,0.3,4.0,190,5120,"1,250,000 ",Slow,70,142,10,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 3,Big Pearl - 5%,30,65,100,45,25,40,,,,,,,,,
630,Mandibuzz,big pecks,overcoat,weak armor,Bone Vulture Pokémon,1.2,39.5,60,5120,"1,250,000 ",Slow,35,2 Sp. Attack Point(s),133,dark,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,,Flying,110,65,105,55,95,80,flying,,,,,,,,
576,Gothitelle,frisk,,shadow tag,Astral Body Pokémon,1.5,44.0,50,5120,"1,059,860 ",Medium Slow,70,3 Sp. Defense Point(s),23,psychic,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Persim Berry - 50%,Human-like,70,55,95,95,110,65,,No Hold Item,,,,,,,
266,Silcoon,shed skin,,,Cocoon Pokémon,0.6,10.0,120,3840,"1,000,000 ",Medium Fast,70,61,10,bug,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,,Bug,50,35,55,25,25,15,,,,,,,,,
507,Herdier,intimidate,sand rush,scrappy,Loyal Dog Pokémon,0.9,14.7,120,3840,"1,059,860 ",Medium Slow,70,2 Attack Point(s),113,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,65,80,65,35,65,60,,,,,,,,,
504,Patrat,run away,keen eye,analytic,Scout Pokémon,0.5,11.6,255,3840,"1,000,000 ",Medium Fast,70,1 Attack Point(s),148,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,45,55,39,35,39,42,,,,,,,,,
282,Gardevoir,synchronize,trace,telepathy,Embrace Pokémon,1.6,48.4,45,5120,"1,250,000 ",Slow,35,140,30,psychic,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,Amorphous,68,65,65,125,115,80,,,,,,,,,
446,Munchlax,pickup,thick fat,gluttony,Big Eater Pokémon,0.6,105.0,50,10240,"1,250,000 ",Slow,70,82,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,,135,85,40,40,85,5,,,,,,,,,
354,Banette,insomnia,frisk,cursed body,Marionette Pokémon,1.1,12.5,45,6400,"800,000 ",Fast,35,130,37,ghost,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,,Amorphous,64,115,65,83,63,65,,,,,,,,,
095,Onix,rock head,sturdy,weak armor,Rock Snake Pokémon,8.8,210.0,45,6400,"1,000,000 ",Medium Fast,70,133,10,rock,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,,Mineral,35,45,160,30,45,70,ground,,,,,,,,
371,Bagon,rock head,,sheer force,Rock Head Pokémon,0.6,42.1,45,10240,"1,250,000 ",Slow,35,125,10,dragon,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,,Dragon,45,75,60,40,30,50,,,,,,,,,
203,Girafarig,inner focus,early bird,sap sipper,Long Neck Pokémon,1.5,41.5,60,5120,"1,000,000 ",Medium Fast,70,157,10,normal,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,,Field,70,80,65,90,65,85,psychic,,,,,,,,
525,Boldore,sturdy,,sand force,Ore Pokémon,0.9,102.0,120,3840,"1,059,860 ",Medium Slow,70,1 Attack Point(s)1 Defense Point(s),159,rock,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,Hard Stone - 5%,Mineral,70,105,105,50,40,20,,,,,,,,,
018,Pidgeot,keen eye,tangled feet,big pecks,Bird Pokémon,1.5,39.5,45,3840,"1,059,860 ",Medium Slow,70,145,36,normal,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,83,80,75,70,70,91,flying,,,,,,,,
206,Dunsparce,serene grace,run away,rattled,Land Snake Pokémon,1.5,14.0,190,5120,"1,000,000 ",Medium Fast,70,155,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,100,70,70,65,65,45,,,,,,,,,
119,Seaking,swift swim,water veil,lightningrod,Goldfish Pokémon,1.3,39.0,60,5120,"1,000,000 ",Medium Fast,70,31,33,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,Water 2,80,92,65,65,80,68,,,,,,,,,
232,Donphan,sturdy,,sand veil,Armor Pokémon,1.1,120.0,60,5120,"1,000,000 ",Medium Fast,70,8,25,ground,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,,Field,90,120,120,60,60,50,,,,,,,,,
195,Quagsire,damp,water absorb,unaware,Water Fish Pokémon,1.4,75.0,90,5120,"1,000,000 ",Medium Fast,70,109,20,water,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,Water 1,Field,95,85,85,65,65,35,ground,,,,,,,,
459,Snover,snow warning,,soundproof,Frosted Tree Pokémon,1.0,50.5,120,5120,"1,250,000 ",Slow,70,43,10,grass,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,Grass,Monster,60,62,50,62,60,40,ice,,,,,,,,
289,Slaking,truant,,,Lazy Pokémon,2.0,130.5,45,3840,"1,250,000 ",Slow,70,0,36,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,150,160,100,95,65,100,,,,,,,,,
343,Baltoy,levitate,,,Clay Doll Pokémon,0.5,21.5,255,5120,"1,000,000 ",Medium Fast,70,0,10,ground,1,1,2,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,,Mineral,40,40,55,40,70,55,psychic,,,,,,,,
131,Lapras,water absorb,shell armor,hydration,Transport Pokémon,2.5,220.0,45,10240,"1,250,000 ",Slow,70,93,10,water,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,Water 1,Monster,130,85,80,85,95,60,ice,,,,,,,,
469,Yanmega,speed boost,tinted lens,frisk,Ogre Darner Pokémon,1.9,51.5,30,5120,"1,000,000 ",Medium Fast,70,119,10,bug,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,86,76,86,116,56,95,flying,,,,,,,,
405,Luxray,rivalry,intimidate,guts,Gleam Eyes Pokémon,1.4,42.0,45,5120,"1,059,860 ",Medium Slow,70,62,30,electric,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Field,80,120,79,95,79,70,,,,,,,,,
069,Bellsprout,chlorophyll,,gluttony,Flower Pokémon,0.7,4.0,255,5120,"1,059,860 ",Medium Slow,70,82,10,grass,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,,Grass,50,75,35,70,30,40,poison,,,,,,,,
121,Starmie,illuminate,natural cure,analytic,Mysterious Pokémon,1.1,80.0,60,5120,"1,250,000 ",Slow,70,148,10,water,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,Star Piece - 5%,Water 3,60,75,85,100,85,115,psychic,,,,,,,,
613,Cubchoo,snow cloak,,rattled,Chill Pokémon,0.5,8.5,120,5120,"1,000,000 ",Medium Fast,70,1 Attack Point(s),155,ice,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,,Field,55,70,40,60,40,40,,,,,,,,,
338,Solrock,levitate,,,Meteorite Pokémon,1.2,154.0,45,6400,"800,000 ",Fast,70,0,10,rock,0.5,0.5,2,1,2,1,1,0.5,2,0.5,0.5,2,1,2,1,2,2,Comet Shard - 1%(Dark Grass),Mineral,70,95,85,55,65,70,psychic,,,,,,,,
422,Shellos,sticky hold,storm drain,sand force,Sea Slug Pokémon,0.3,6.3,190,5120,"1,000,000 ",Medium Fast,70,159,10,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,Amorphous,76,48,48,57,62,34,,,,,,,,,
324,Torkoal,white smoke,,shell armor,Coal Pokémon,0.5,80.4,90,5120,"1,000,000 ",Medium Fast,70,75,10,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Field,70,85,140,85,70,20,,,,,,,,,
005,Charmeleon,blaze,,solar power,Flame Pokémon,1.1,19.0,45,5120,"1,059,860 ",Medium Slow,70,94,16,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Monster,Dragon,58,64,58,80,65,80,,,,,,,,,
041,Zubat,inner focus,,infiltrator,Bat Pokémon,0.8,7.5,255,3840,"1,000,000 ",Medium Fast,70,151,10,poison,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,,Flying,40,45,35,30,40,55,flying,,,,,,,,
381,Latios,levitate,,,Eon Pokémon,2.0,60.0,3,30720,"1,250,000 ",Slow,90,0,40,dragon,1,0.5,0.5,0.5,0.5,2,0.5,1,1,1,0.5,2,1,2,2,2,1,,,80,90,80,130,110,110,psychic,,,,,,,,
605,Elgyem,telepathy,synchronize,analytic,Cerebral Pokémon,0.5,9.0,255,5120,"1,000,000 ",Medium Fast,70,1 Sp. Attack Point(s),148,psychic,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,Human-like,55,55,55,85,55,30,,,,,,,,,
026,Raichu,static,,lightningrod,Mouse Pokémon,0.8,30.0,75,2560,"1,000,000 ",Medium Fast,70,31,10,electric,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Fairy,,60,90,55,90,80,100,,Oran Berry - 50%,,Field,,,,,
049,Venomoth,shield dust,tinted lens,wonder skin,Poison Moth Pokémon,1.5,12.5,75,5120,"1,000,000 ",Medium Fast,70,147,31,bug,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,,Bug,70,65,60,90,75,90,poison,,,,,,,,
536,Palpitoad,swift swim,hydration,water absorb,Vibration Pokémon,0.8,17.0,120,5120,"1,059,860 ",Medium Slow,70,2 HP Point(s),11,water,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,Persim Berry - 50%,Pecha Berry - 50%,75,65,55,65,55,69,ground,Water 1,,,,,,,
632,Durant,swarm,hustle,truant,Iron Ant Pokémon,0.3,33.0,90,5120,"1,000,000 ",Medium Fast,70,2 Defense Point(s),54,bug,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,,Bug,58,109,112,48,48,109,steel,,,,,,,,
640,Virizion,justified,,,Grassland Pokémon,2.0,200.0,3,20480,"1,250,000 ",Slow,35,3 Sp. Defense Point(s),0,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,,,91,90,72,90,129,108,fighting,,,,,,,,
307,Meditite,pure power,,telepathy,Meditate Pokémon,0.6,11.2,180,5120,"1,000,000 ",Medium Fast,70,140,10,fighting,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,,Human-like,30,40,55,40,55,60,psychic,,,,,,,,
356,Dusclops,pressure,,,Beckon Pokémon,1.6,30.6,90,6400,"800,000 ",Fast,35,0,37,ghost,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,,Amorphous,40,70,130,60,130,25,,,,,,,,,
570,Zorua,illusion,,,Tricky Fox Pokémon,0.7,12.5,75,6400,"1,059,860 ",Medium Slow,70,1 Sp. Attack Point(s),0,dark,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,,Field,40,65,40,80,40,65,,,,,,,,,
240,Magby,flame body,,vital spirit,Live Coal Pokémon,0.7,21.4,45,6400,"1,000,000 ",Medium Fast,70,72,10,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,,45,75,37,70,55,83,,,,,,,,,
115,Kangaskhan,early bird,scrappy,inner focus,Parent Pokémon,2.2,80.0,45,5120,"1,000,000 ",Medium Fast,70,39,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Monster,105,95,80,40,80,90,,,,,,,,,
112,Rhydon,lightningrod,rock head,reckless,Drill Pokémon,1.9,120.0,60,5120,"1,250,000 ",Slow,70,120,42,ground,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Monster,Field,105,130,120,45,45,40,rock,,,,,,,,
191,Sunkern,chlorophyll,solar power,early bird,Seed Pokémon,0.3,1.8,235,5120,"1,059,860 ",Medium Slow,70,48,10,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,,30,30,30,30,30,30,,Coba Berry - 5%,,,,,,,
102,Exeggcute,chlorophyll,,harvest,Egg Pokémon,0.4,2.5,90,5120,"1,250,000 ",Slow,70,139,10,grass,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,,Grass,60,40,80,60,45,40,psychic,,,,,,,,
391,Monferno,blaze,,iron fist,Playful Pokémon,0.9,22.0,45,5120,"1,059,860 ",Medium Slow,70,89,14,fire,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,Field,Human-like,64,78,52,78,52,81,fighting,,,,,,,,
130,Gyarados,intimidate,,moxie,Atrocious Pokémon,6.5,235.0,45,1280,"1,250,000 ",Slow,70,153,20,water,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,Water 2,Dragon,95,125,79,60,100,81,flying,,,,,,,,
505,Watchog,illuminate,keen eye,analytic,Lookout Pokémon,1.1,27.0,255,5120,"1,000,000 ",Medium Fast,70,Black & White1 Attack Point(s)Black 2 & White 22 Attack Point(s),148,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,60,85,69,60,69,77,,,,,,,,,
061,Poliwhirl,water absorb,damp,swift swim,Tadpole Pokémon,1.0,20.0,120,5120,"1,059,860 ",Medium Slow,70,33,25,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,Water 1,65,65,65,50,50,90,,,,,,,,,
574,Gothita,frisk,,shadow tag,Fixation Pokémon,0.4,5.8,200,5120,"1,059,860 ",Medium Slow,70,1 Sp. Defense Point(s),23,psychic,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Persim Berry - 50%,Human-like,45,30,50,55,65,45,,No Hold Item,,,,,,,
329,Vibrava,levitate,,,Vibration Pokémon,1.1,15.3,120,5120,"1,059,860 ",Medium Slow,70,26,35,ground,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,,Bug,50,70,50,50,50,70,dragon,,,,,,,,
643,Reshiram,turboblaze,,,Vast White Pokémon,3.2,330.0,45,30720,"1,250,000 ",Slow,0,3 Sp. Attack Point(s),0,dragon,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,,,100,120,100,150,120,90,fire,,,,,,,,
468,Togekiss,hustle,serene grace,super luck,Jubilee Pokémon,1.5,38.0,30,2560,"800,000 ",Fast,70,105,10,normal,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,Fairy,85,50,95,120,115,80,flying,,,,,,,,
190,Aipom,run away,pickup,skill link,Long Tail Pokémon,0.8,11.5,45,5120,"800,000 ",Fast,70,92,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,55,70,55,40,55,85,,,,,,,,,
001,Bulbasaur,overgrow,,chlorophyll,Seed Pokémon,0.7,6.9,45,5120,"1,059,860 ",Medium Slow,70,34,10,grass,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,Monster,45,49,49,65,65,45,poison,,,,,,,,
251,Celebi,natural cure,,,Time Travel Pokémon,0.6,5.0,45,30720,"1,059,860 ",Medium Slow,100,0,10,psychic,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,,,100,100,100,100,100,100,grass,,,,,,,,
556,Maractus,water absorb,chlorophyll,storm drain,Cactus Pokémon,1.0,28.0,255,5120,"1,000,000 ",Medium Fast,70,2 Sp. Attack Point(s),114,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,,Grass,75,86,67,106,67,60,,,,,,,,,
074,Geodude,rock head,sturdy,sand veil,Rock Pokémon,0.4,20.0,255,3840,"1,059,860 ",Medium Slow,70,8,10,rock,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,,Mineral,40,80,100,30,30,20,ground,,,,,,,,
